movie_id,actor_id
52,1
50,2
23,3
26,4
14,5
6,6
2,7
15,8
40,8
20,9
38,10
9,11
21,12
9,13
17,14
25,15
9,16
21,17
38,18
47,19
30,20
43,21
12,22
10,23
49,23
7,24
15,25
31,25
32,25
33,25
46,26
46,27
14,28
29,28
39,28
8,29
48,30
47,31
27,32
31,33
32,33
33,33
43,34
15,35
6,36
35,37
36,37
37,37
2,38
4,38
35,38
36,38
37,38
39,39
31,40
32,40
33,40
46,41
3,42
8,43
13,44
30,45
9,46
24,47
45,48
42,49
15,50
52,51
35,52
52,53
35,54
36,54
37,54
11,55
50,55
4,56
47,57
4,58
24,59
38,59
20,60
27,61
34,61
41,62
2,63
21,64
34,65
28,66
21,67
41,68
10,69
5,70
16,70
25,71
22,72
10,73
49,74
3,75
24,76
42,77
8,78
16,79
15,80
20,81
53,82
13,83
5,84
17,84
14,85
43,86
9,87
3,88
31,89
32,89
33,89
47,90
1,91
32,92
29,93
42,94
24,95
15,96
30,96
34,97
43,98
12,99
20,100
53,101
15,102
19,103
41,103
38,104
21,105
17,106
14,107
29,107
12,108
19,109
51,109
20,110
12,111
19,112
15,113
38,114
47,115
6,116
15,117
18,118
15,119
40,119
22,120
2,121
7,122
16,123
22,124
15,125
27,126
38,127
28,128
28,129
41,130
33,131
51,132
15,133
11,134
28,135
41,135
30,136
15,137
40,137
52,138
48,139
5,140
11,141
9,142
25,143
25,144
4,145
48,146
9,147
16,147
